enrollment_id,student_id,enrollment_date,progress_percentage,completion_status
140,140,2024-05-09,97.86,Done
141,141,2025-01-09,96.83,Done
142,142,2023-06-08,96.05,Done
143,143,2023-10-03,0.0,Pending
144,144,2023-09-01,96.32,Done
145,145,2025-01-22,43.35,InProgress
146,146,2023-05-21,97.8,Done
147,147,2023-06-08,99.58,Done
148,148,2023-02-07,98.32,Done
149,149,2023-08-18,50.97,InProgress
150,150,2025-04-21,98.28,Done
151,151,2025-07-30,0.0,Pending
152,152,2024-03-03,0.0,Pending
153,153,2025-11-11,22.66,Cancelled
154,154,2025-03-13,97.47,Done
155,155,2023-04-09,17.63,Cancelled
156,156,2024-11-04,96.97,Done
157,157,2023-12-29,92.38,InProgress
158,158,2023-03-29,95.57,Done
159,159,2024-03-18,40.15,Cancelled
160,160,2023-07-02,54.16,InProgress
161,161,2025-06-10,95.9,Done
162,162,2024-03-12,0.0,Pending
163,163,2024-11-15,0.0,Pending
164,164,2025-08-21,0.0,Pending
165,165,2024-09-04,98.56,Done
166,166,2023-02-08,98.44,Done
167,167,2024-04-02,0.0,Pending
168,168,2025-09-02,96.6,Done
169,169,2025-12-22,99.53,Done
170,170,2025-06-29,98.76,Done
171,171,2024-08-26,98.56,Done
172,172,2025-02-09,95.0,Done
173,173,2024-05-20,0.0,Pending
174,174,2023-03-02,50.3,InProgress
175,175,2024-04-21,98.77,Done
176,176,2024-12-14,0.0,Pending
177,177,2024-06-21,93.9,InProgress
178,178,2024-03-10,96.89,Done
179,179,2025-06-17,95.12,Done
180,180,2025-07-01,63.31,InProgress
181,181,2025-11-08,96.4,Done
182,182,2023-07-24,95.97,Done
183,183,2023-12-01,98.3,Done
184,184,2023-01-13,98.16,Done
185,185,2023-01-01,96.44,Done
186,186,2025-11-18,96.53,Done
187,187,2024-06-14,95.34,Done
188,188,2023-03-15,72.02,InProgress
189,189,2024-03-02,99.88,Done
190,190,2024-01-02,54.63,InProgress
191,191,2023-04-05,99.16,Done
192,192,2025-02-02,96.52,Done
193,193,2023-07-24,95.77,Done
194,194,2025-03-24,99.06,Done
195,195,2025-02-22,12.82,Cancelled
196,196,2024-10-21,96.82,Done
197,197,2025-12-21,95.64,Done
198,198,2025-05-17,43.0,InProgress
199,199,2025-05-19,38.41,InProgress
200,200,2023-05-22,98.29,Done
